category,name,structure,CAS,mw,mp,density
"acrylic acid, ester","1,5-pentanediol diacrylate","H2C=CHC(O)OR,  R=(-(CH2)5-)",36840-85-4,212.25,,
"acrylic acid, ester",penterythritol triacrylate,"H2C=CHC(O)OR,  R=(-CH2)3CCH2OH",3524-68-3,298.3,15,1.18
"acrylic acid, ester",n-pentyl acrylate,H2C=CHC(O)O(CH2)4CH3,2998-23-4,142.2,,0.892
"acrylic acid, ester",2-phenoxyethyl acrylate,H2C=CHC(O)OCH2CH2OC6H5,48145-04-6,192.21,,1.104
"acrylic acid, ester",phenyl acrylate,H2C=CHC(O)OC6H5,937-41-7,148.16,,
"acrylic acid, ester","1,4-phenylene diacrylate","H2C=CHC(O)OR,  R=(-C6H4-)",6729-79-9,218.21,88,
"acrylic acid, ester","1,4-phenylenediacrylic acid",C6H4(CH=CHC(O)OH)2,16323-43-6,218.21,> 300,
"acrylic acid, ester",2-phenylethyl acrylate,H2C=CHC(O)OCH2CH2C6H5,3530-36-7,176.22,,
"acrylic acid, ester",propargyl acrylate,H2C=CHC(O)OCH2C≡CH,10477-47-1,110.11,138,
"acrylic acid, ester",n-propyl acrylate,H2C=CHC(O)OCH2CH2CH3,925-60-0,114.14,,0.9078
"acrylic acid, ester","1,3-propylene glycol diacrylate","H2C=CHC(O)OR,  R=(-(CH2)3-)",25151-33-1,184.19,,
"acrylic acid, ester",tetradecyl acrylate,H2C=CHC(O)O(CH2)13CH3,21643-42-5,268.44,,0.87
"acrylic acid, ester",tetraethylene glycol diacrylate,"H2C=CHC(O)OR,  R=(-(CH2CH2O)3CH2CH2-)",17831-71-9,302.33,,1.11
"acrylic acid, ester","2,2,3,3-tetrafluoropropyl acrylate",H2C=CHC(O)OCH2CF2CF2H,7383-71-3,186.11,,1.317
"acrylic acid, ester",tetrahydrofurfuryl acrylate,H2C=CHC(O)OC5H9O,2399-48-6,156.18,htmlentities(',1.063
