polymer,mp,mw
Poly(N-perfluoropropionyl-ethylene amine),216.0,189.08
"Poly(N-phenyl-2-imino-1,3-dithiapentamethylene)",128.0,195.3
"Poly(N-phenyl-4-methyl-2-imino-1,3-dithiapentamethylene)",89.0,209.32
Poly(N-pivaloyl-ethylene amine),320.0,127.19
Poly(N-vinyldiphenylamine),320.0,195.26
"Poly(P-hydroxy-hexamethylene 4,4'-phosphinylidenedibenzamide)",245.0,386.39
"Poly(P-m-phenylene 4,4'-phosphinylidenedibenzamide)",340.0,376.35
"Poly(P-methyl-decamethylene 3,3'-phosphinylidenedibenzamide)",155.0,440.52
"Poly(P-methyl-decamethylene 4,4'-phosphinylidenedibenzamide)",186.0,440.52
"Poly(P-methyl-hexamethylene 3,3'-phosphinylidenedibenzamide)",172.0,384.42
"Poly(P-methyl-hexamethylene 4,4'-phosphinylidenedibenzamide)",213.0,384.42
"Poly(P-methyl-m-phenylene 3,3'-phosphinylidenedibenzamide)",260.0,376.35
"Poly(P-methyl-nonamethylene 3,3'-phosphinylidenedibenzamide)",141.0,426.5
"Poly(P-methyl-nonamethylene 4,4'-phosphinylidenedibenzamide)",167.0,426.5
"Poly(P-methyl-o-phenylene 3,3'-phosphinylidenedibenzamide)",181.0,376.35
"Poly(P-methyl-o-phenylene 4,4'-phosphinylidenedibenzamide)",193.0,376.35
"Poly(P-methyl-octamethylene 3,3'-phosphinylidenedibenzamide)",158.0,412.47
"Poly(P-methyl-octamethylene 4,4'-phosphinylidenedibenzamide)",172.0,412.47
"Poly(P-methyl-p-phenylene 3,3'-phosphinylidenedibenzamide)",264.0,376.35
"Poly(P-methyl-p-phenylene 4,4'-phosphinylidenedibenzamide)",340.0,376.35
"Poly(P-methyl-tetramethylene 4,4'-phosphinylidenedibenzamide)",208.0,356.36
"Poly(P-phenyl-decamethylene 4,4'-phosphinylidenedibenzamide)",192.0,502.59
"Poly(P-phenyl-hexamethylene 4,4'-phosphinylidenedibenzamide)",231.0,445.48
"Poly(P-phenyl-m-phenylene 4,4'-phosphinylidenedibenzamide)",340.0,438.42
"Poly(P-phenyl-nonamethylene 4,4'-phosphinylidenedibenzamide)",179.0,488.57
"Poly(P-phenyl-o-phenylene 4,4'-phosphinylidenedibenzamide)",207.0,438.42
"Poly(P-phenyl-octamethylene 4,4'-phosphinylidenedibenzamide)",202.0,474.54
"Poly(P-phenyl-p-phenylene 4,4'-phosphinylidenedibenzamide)",340.0,438.42
"Poly(P-phenyl-tetramethylene 4,4'-phosphinylidenedibenzamide)",230.0,418.43
Poly(Si-diethyl-dimethyl-p-phenylene disiloxanylenedipropionamide),300.0,378.62
Poly(Si-tetraethyl-4-methyl-m-phenylene disiloxanylenedipropionamide) (diamine),90.0,420.7
Poly(Si-tetraethyl-m-phenylene disiloxanylenedipropionamide),70.0,406.67
Poly(Si-tetraethyl-p-phenylene disiloxanylenedipropionamide),290.0,406.67
"Poly(Si-tetramethyl-3,3'-dimethyl-4,4'-methylenediphenylene disiloxanylenedipropionamide) (diamine)",265.0,454.72
"Poly(Si-tetramethyl-4,4'-methylenediphenylene disiloxanylenedipropionamide)",90.0,440.69
Poly(Si-tetramethyl-4-methyl-m-phenylene disiloxanylenedipropionamide) (diamine),70.0,364.59
Poly(Si-tetramethyl-m-phenylene disiloxanylenedipropionamide),90.0,350.57
Poly(Si-tetramethyl-octamethylene disiloxanylenedipropionamide),95.0,386.68
Poly(Si-tetramethyl-oxydisilyleneditrimethylene pyromellitimide),210.0,430.61
Poly(Si-tetramethyl-p-phenylene disiloxanylenedipropionamide),300.0,350.57
Poly(bromo-p-xylylene),270.0,183.05
Poly(bromomethylethylene oxide) [epibromohydrin],112.0,136.98
Poly(butyl-hexamethylene malonamide) (diacid),160.5,240.35
Poly(chloroethylene terephthalate) (diacid),92.0,226.62
Poly(cis- or trans-1-methoxy-2-methylethylene),242.33333333333334,72.11
"Poly(cis-1,2-dichloromethylethylene oxide)",235.0,141.0
"Poly(cis-1,3-cyclohexylene adipamide)",170.0,224.3
"Poly(cis-1,3-cyclohexylene azelamide)",125.0,266.38
"Poly(cis-1,3-cyclohexylene sebacamide)",120.0,280.41
"Poly(cis-1,4-cyclohexylenedimethylene 2,6-naphthalate)",287.0,324.38
